input,output,se_order
"kamar tidur dan kamar mandi bersih dan pelayanan nya memuaskan !| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar tidur <extra_id_1> bersih <extra_id_2> positive ; <extra_id_3> kamar mandi <extra_id_4> bersih <extra_id_5> positive ; <extra_id_6> pelayanan nya <extra_id_7> memuaskan <extra_id_8> positive,aos
"recomended buat refreshing dan sangat nyaman .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> recomended ; <extra_id_2> NULL <extra_id_3> sangat nyaman,ao
"bagus bersih nyaman , cuma tempat terlalu kedalam .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> tempat <extra_id_1> terlalu kedalam ; <extra_id_2> NULL <extra_id_3> bagus ; <extra_id_4> NULL <extra_id_5> bersih ; <extra_id_6> NULL <extra_id_7> nyaman,ao
"bersih , nyaman . air panas nya saja yang belum ada .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> air panas <extra_id_1> belum ada ; <extra_id_2> NULL <extra_id_3> bersih ; <extra_id_4> NULL <extra_id_5> nyaman,ao
"lmpunya ada beberapa yang tidak nyala , tetapi kamar bagus luas dan oke .| opini : <extra_id_0>",<extra_id_0> tidak nyala ; <extra_id_1> bagus ; <extra_id_2> luas ; <extra_id_3> oke,o
"pelayanan nya ramah dan baik sekali .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan nya <extra_id_1> positive,as
"hotel menyenangkan , bersih , nyaman , petugas ramah , akses dekat ke taman tepi pantai , dekat ke dermaga pulau penyengat , dermaga singapura , batam , jalan kaki saja ke durian jalan . bakar batu .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> hotel <extra_id_1> menyenangkan <extra_id_2> positive ; <extra_id_3> hotel <extra_id_4> bersih <extra_id_5> positive ; <extra_id_6> hotel <extra_id_7> nyaman <extra_id_8> positive ; <extra_id_9> petugas <extra_id_10> ramah <extra_id_11> positive,aos
"hotel nya bersih . tempat nya dekat dengan pelabuhan tengkayu . pusat oleh "" pun dekat mau cari makan pun dekat , masjid dekat .| opini : <extra_id_0>",<extra_id_0> bersih,o
"tidak kedap suara , sehingga suara dari luar kamar terdengar jelas dan itu sangat menganggu , seperti tengah malam ada suara orang dorongdorong trolly .| aspek : <extra_id_0>",<extra_id_0> NULL,a
"fasilitasnya lengkap dengan harga terjangkau .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> fasilitasnya <extra_id_1> lengkap ; <extra_id_2> harga <extra_id_3> terjangkau,ao
"lokasi bagus dan strategis . lobi sangat minim . pintu kamar mandi tidak bisa di tutup . ac agak rusak . angkaangka di ac macet naik turunnya . sandal tidak ada . cuma ini .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> lokasi <extra_id_1> bagus ; <extra_id_2> lokasi <extra_id_3> strategis ; <extra_id_4> lobi <extra_id_5> sangat minim ; <extra_id_6> pintu kamar mandi <extra_id_7> tidak bisa di tutup ; <extra_id_8> ac <extra_id_9> agak rusak ; <extra_id_10> ac <extra_id_11> macet naik turunnya ; <extra_id_12> sandal <extra_id_13> tidak ada,ao
"sangat dekat dengan terminal tirtonadi hanya 100m . bisa jalan kaki .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",NULL,aos
"lumayan oke , ac snack tv perlengkapan mandi ada .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> ac <extra_id_1> positive ; <extra_id_2> snack <extra_id_3> positive ; <extra_id_4> tv <extra_id_5> positive ; <extra_id_6> perlengkapan mandi <extra_id_7> positive ; <extra_id_8> NULL <extra_id_9> positive,as
"kamarnya nyaman , bersih hanya untuk colokan minim sekali dan gordennya sangat tipis kelihat dari luar kamar . tetapi semuanya baik . terima kasih airy : ) .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamarnya <extra_id_1> positive ; <extra_id_2> colokan <extra_id_3> negative ; <extra_id_4> gordennya <extra_id_5> negative ; <extra_id_6> semuanya <extra_id_7> positive,as
"makanan enak . cuma sayang kamarnya sempit .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> makanan <extra_id_1> enak <extra_id_2> positive ; <extra_id_3> kamarnya <extra_id_4> sempit <extra_id_5> negative,aos
"rekomen banget di hotel ini , bersih dan nyaman .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"nyaman , tempat nya bersih , pegawai nya ramahramah . insyaallah saya akan datang kembali , sukses selalu , .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempat nya <extra_id_1> positive ; <extra_id_2> pegawai nya <extra_id_3> positive ; <extra_id_4> NULL <extra_id_5> positive,as
"peralatan berantakan . selebihnya oke banget .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> peralatan <extra_id_1> negative ; <extra_id_2> selebihnya <extra_id_3> positive,as
"hotel yang sangat bagus , akan tetapi kamar mandi saluran airnya tersumbat harap di perbaiki .| opini : <extra_id_0>",<extra_id_0> sangat bagus ; <extra_id_1> tersumbat harap di perbaiki,o
"kamar bersih , rapi , semuanya bagus tetapi hanya 1 yang kurang yaitu kamar kurang kedap suara , suara dari luar maupun dari dalam keluar terdengar jelas .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> positive ; <extra_id_2> semuanya <extra_id_3> positive ; <extra_id_4> kamar <extra_id_5> negative,as
"baik , pelayanan baik tetapi sayang tidak ada bantal dan makanan seperti yang tercantum di airy rooms .| opini : <extra_id_0>",<extra_id_0> baik ; <extra_id_1> tidak ada ; <extra_id_2> baik,o
"kebersihannya tolong di tingkatkan , ada kecoak mati di depan kamar mandi .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kebersihannya <extra_id_1> tolong di tingkatkan <extra_id_2> negative ; <extra_id_3> kamar mandi <extra_id_4> ada kecoak <extra_id_5> negative,aos
"harga cukup murah , pelayanan baik . hanya 1 yang bermasalah . ac tidak bisa dingin meski sudah dibersihkan .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> harga <extra_id_1> cukup murah <extra_id_2> positive ; <extra_id_3> pelayanan <extra_id_4> baik <extra_id_5> positive ; <extra_id_6> ac <extra_id_7> tidak bisa dingin <extra_id_8> negative,aos
pegawai kurang ramah .| aspek : <extra_id_0>,<extra_id_0> pegawai,a
"kemarin menginap di sini , 3 kamar 2 malam . 1 kamar tidak ada selimutnya , 1 kamar lagi tidak ada handuknya : ( sudah lapor ke resepsionis , cuma ditulis saja waktu saya balik belum juga dikasi . tetapi overall untuk harga menginap segitu worth banget , mungkin kalau ada waktu saya akan kembali lagi sekeluarga .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> selimutnya <extra_id_1> tidak ada <extra_id_2> negative ; <extra_id_3> handuknya <extra_id_4> tidak ada <extra_id_5> negative ; <extra_id_6> overall <extra_id_7> worth banget <extra_id_8> positive,aos
"bersih , ramah gratis ke bandara , senang deh .| opini : <extra_id_0>",<extra_id_0> bersih ; <extra_id_1> ramah,o
"type kamar tidak sesuai dengan pesanan , overall nyamanlah buat istirahat .| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> overall,a
"kamar mandi kotor , .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar mandi <extra_id_1> negative,as
"( + ) kamar cukup luas , staf ramah , sarapan enak meski hanya 1 macam ( - ) air kamar mandi yang baunya tidak enak .| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> staf ; <extra_id_2> sarapan ; <extra_id_3> air kamar mandi,a
"kamar kotor bau , ada bekas handuk orng ( kamar gavdi bersihkan ) , banyak kecoak dan nyamuk , ranjang kotor , pesan yang 1 ranjang besar di kasih yang twin bed , kamar mandi jorok ada bekas darah orang , susah sinyal , harus ke cafe baru dpet wifi , sry saya jujurjujur saja bukan di buatbuat , terimakasih .| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> ranjang ; <extra_id_2> kamar mandi ; <extra_id_3> wifi,a
"kamarnya nyaman , hanya saja ada 1 lampu yang mati dekat dengan kamar mandi , dan lampu tdurnya hanya 1 yang hidup , tetapi overall , cukup puas .| opini : <extra_id_0>",<extra_id_0> nyaman ; <extra_id_1> cukup puas,o
"lokasi mudah di cari tetapi sayang ruangannya ada cat yang terkelupas , jadi jelek .| opini : <extra_id_0>",<extra_id_0> mudah di cari,o
"kamarnya bersih dan nyaman . homey .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamarnya <extra_id_1> bersih <extra_id_2> positive ; <extra_id_3> kamarnya <extra_id_4> nyaman <extra_id_5> positive ; <extra_id_6> kamarnya <extra_id_7> homey <extra_id_8> positive,aos
"ramah , bersih , lokasi sangat strategis dekat dengan jatim parkpark , bns dan museum angkut . sayang wifinya kurang cepat .| aspek : <extra_id_0>",<extra_id_0> lokasi ; <extra_id_1> wifinya ; <extra_id_2> NULL,a
"kamarnya bersih dan rapi , ac nya sejuk , tersedia free snack dan air mineral . cuma karena kamarnya berada di lantai 4 , dan hanya tersedia tangga manual , jadi agak males ketika mau keluar kamar , bahkan hanya untuk sekedar sarapan sekalipun . namun demikian untuk penilaian secara umum baik .| opini : <extra_id_0>",<extra_id_0> bersih ; <extra_id_1> rapi ; <extra_id_2> sejuk ; <extra_id_3> tersedia ; <extra_id_4> baik,o
"kamar bersih , sesuai sama harga , kalau mau menginap tetapi kalau budget tempat ini cocok , .| aspek : <extra_id_0>",<extra_id_0> kamar,a
"kamar bagus , rapi , enak air panasnya agak lama iya baru panas puas banget dan recommended banget .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> bagus ; <extra_id_2> kamar <extra_id_3> rapi ; <extra_id_4> kamar <extra_id_5> enak ; <extra_id_6> air panasnya <extra_id_7> agak lama ; <extra_id_8> NULL <extra_id_9> puas banget ; <extra_id_10> NULL <extra_id_11> recommended banget,ao
sangat memuaskan . setiap hari kamar dibersihkan . karyawan hotelnya juga telaten dan baik banget .| opini : <extra_id_0>,<extra_id_0> telaten ; <extra_id_1> baik banget ; <extra_id_2> sangat memuaskan,o
"selimut kurang panjang dan lebar untuk 2 orang , gambar tv juga tidak bagus , shgg tidak bisa di tonton , tempat sampah di kamar sudah saya kluarkan depan kamar untuk dibuang oleh petugas , tetapi smpai malam saya ke homestay , sampah masih tidak di buang , biasanya di tempat lain di bersihkan ada perbaikan air , shgg kotor di depan kamar dan berisik .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> selimut <extra_id_1> kurang panjang dan lebar ; <extra_id_2> gambar tv <extra_id_3> tidak bagus ; <extra_id_4> gambar tv <extra_id_5> tidak bisa di tonton,ao
tempat nya bersih dan rapi harganya terjangkau pula .| aspek : <extra_id_0>,<extra_id_0> tempat nya ; <extra_id_1> harganya,a
"bagus , hanya agak kecil air kamar mandinya .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> air kamar mandinya <extra_id_1> agak kecil ; <extra_id_2> NULL <extra_id_3> bagus,ao
"murmer , agak kotor , pelayannya ramah , kelengkapan kurang sesuai , showernya brekelwe .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayannya <extra_id_1> positive ; <extra_id_2> kelengkapan <extra_id_3> negative ; <extra_id_4> showernya <extra_id_5> negative ; <extra_id_6> NULL <extra_id_7> positive ; <extra_id_8> NULL <extra_id_9> negative,as
"check in ktp di minta , check out petugas lupa tidak memberikan ktp saya , padahal saya dari luar kota transit ke semarang dan saya tidak di hubungi terkait ini sampai saya caricari nomor telpun hotel , ketika di telpun juga tidak bahkan minta maaf bahkan lempar lemparan tanggung jawab .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",NULL,as
"tempat nya nyaman fasilitas oke semua .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tempat nya <extra_id_1> nyaman <extra_id_2> positive ; <extra_id_3> fasilitas <extra_id_4> oke <extra_id_5> positive,aos
"nyaman pelayanan sigap berasa di rumah . hanya saja soal privasi kurang karena penjaga rumah nya sering masuk kamar tanpa diminta di saat tamu tidak ada .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> positive ; <extra_id_2> privasi <extra_id_3> negative,as
"mksh iya atas pelayanan nya mas azis sama mas irfan alhamdullilah q bsistirahat setiap saat .| aspek : <extra_id_0> ,opini : <extra_id_1>",NULL,ao
"bintang 3 lah iya .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",NULL,as
"nyaman , tenang dan strategis , cari lokasi makanan juga tidak jauh .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"kamarnya horor , kurang bersih .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamarnya <extra_id_1> horor <extra_id_2> negative ; <extra_id_3> kamarnya <extra_id_4> kurang bersih <extra_id_5> negative,aos
tempatnya cukup strategis dan kamarnya cukup nyaman .| opini : <extra_id_0>,<extra_id_0> cukup strategis ; <extra_id_1> cukup nyaman,o
nasi gorengnya enak . mungkin saya lapar .| opini : <extra_id_0>,<extra_id_0> enak,o
"kamar bersih , pelayanan ramah , harga terjangkau , sangat memuaskan .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar <extra_id_1> bersih <extra_id_2> positive ; <extra_id_3> pelayanan <extra_id_4> ramah <extra_id_5> positive ; <extra_id_6> harga <extra_id_7> terjangkau <extra_id_8> positive ; <extra_id_9> NULL <extra_id_10> sangat memuaskan <extra_id_11> positive,aos
lokasi bagus harga oke .| opini : <extra_id_0>,<extra_id_0> bagus ; <extra_id_1> oke,o
"check in ktp di minta , check out petugas lupa tidak memberikan ktp saya , padahal saya dari luar kota transit ke semarang dan saya tidak di hubungi terkait ini sampai saya caricari nomor telpun hotel , ketika di telpun juga tidak bahkan minta maaf bahkan lempar lemparan tanggung jawab .| aspek : <extra_id_0> ,opini : <extra_id_1>",NULL,ao
tempat bersih dan tenang dengan harga yang terjangkau .| opini : <extra_id_0>,<extra_id_0> bersih ; <extra_id_1> tenang ; <extra_id_2> terjangkau,o
"sangat puas sekali . water heater mantaap , ac dngin . pokok nya recomended banget !| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> water heater <extra_id_1> mantaap <extra_id_2> positive ; <extra_id_3> ac <extra_id_4> dngin <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> sangat puas sekali <extra_id_8> positive ; <extra_id_9> NULL <extra_id_10> recomended banget <extra_id_11> positive,aos
"dekat dengan bandara , walaupun sedikit sempit dan harus naik tangga kalau mau ke kasur tetapi untuk yang niatnya cuma transit sudah cukup memadai . tombol lampu sebaiknya dipindah di dekat kasur saja supaya gampang diakses .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> sedikit sempit ; <extra_id_2> NULL <extra_id_3> cukup memadai,ao
"suasana cukup nyaman dan tenang selama menginap .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> suasana <extra_id_1> cukup nyaman <extra_id_2> positive ; <extra_id_3> suasana <extra_id_4> tenang <extra_id_5> positive,aos
"bersih nyaman .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> bersih nyaman <extra_id_2> positive,aos
"bersih . tetapi sarung bantal nya tolong di perhatikan lagi untuk selalu di ganti bila ada pertukaran tamu .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> sarung bantal nya <extra_id_1> negative ; <extra_id_2> NULL <extra_id_3> positive,as
"pelayanan lumayan baik .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> positive,as
sangat baik semua nya . hanya tidak ada air panas untuk mandi . sedang di perbaiki .| aspek : <extra_id_0>,<extra_id_0> semua nya ; <extra_id_1> air panas,a
"kebersihan kamar ( lantai ) perlu ditingkatkan lagi .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kebersihan kamar <extra_id_1> perlu ditingkatkan lagi <extra_id_2> negative,aos
"maaf saya mau berkomentar kamar yang saya pesan tidak sesuai dengan yang di foto pelayanan nya kurang baik pintu rusak jendela terbuka mohon untuk di perbaharui agar kami saja yang terakhir kalinya menggunakan kamar tersebut sebelum di renovasi terimakasih .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan nya <extra_id_1> kurang baik <extra_id_2> negative ; <extra_id_3> pintu <extra_id_4> rusak <extra_id_5> negative,aos
"kamar bersih proses cek in cepat cuma tolong di perhatikan wcx , agak berbau untuk keluruhan oke .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar <extra_id_1> bersih <extra_id_2> positive ; <extra_id_3> proses cek in <extra_id_4> cepat <extra_id_5> positive ; <extra_id_6> wcx <extra_id_7> tolong di perhatikan <extra_id_8> negative ; <extra_id_9> wcx <extra_id_10> agak berbau <extra_id_11> negative ; <extra_id_12> keluruhan <extra_id_13> oke <extra_id_14> positive,aos
"pelayanan ramah . cuma kamarnya saja kurang bersih .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> ramah ; <extra_id_2> kamarnya <extra_id_3> kurang bersih,ao
"ac dilantai bawah tidak nyala terpaksa pindah ke lantai 4 , nyala sih tetapi tidak begitu dingin .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> ac <extra_id_1> tidak nyala <extra_id_2> negative ; <extra_id_3> ac <extra_id_4> tidak begitu dingin <extra_id_5> negative,aos
"toiletnya kotor , bantalnya bau , tetapi fasilitas yang lain oke .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> toiletnya <extra_id_1> negative ; <extra_id_2> bantalnya <extra_id_3> negative ; <extra_id_4> fasilitas yang lain <extra_id_5> positive,as
tempatnya bagus untuk istirahat .| opini : <extra_id_0>,<extra_id_0> bagus,o
"pemandangan oke lah , ac nya juga dingin , kolam renang nya lumayan , minus tidak ada air panas , tidak ada keset , tidak ada tempat sampah , seprai cuci nya tidak bersih . perbaiki lagi kebersihan kamar nya . terimakasih airy , over all sesuai harga lah iya .| opini : <extra_id_0>",<extra_id_0> oke ; <extra_id_1> dingin ; <extra_id_2> lumayan ; <extra_id_3> tidak ada ; <extra_id_4> tidak ada ; <extra_id_5> tidak ada ; <extra_id_6> tidak bersih ; <extra_id_7> perbaiki lagi ; <extra_id_8> sesuai,o
"bangunan bersih , kamar bersih dan wangi .| aspek : <extra_id_0>",<extra_id_0> bangunan ; <extra_id_1> kamar,a
lokasi tengah kota . dekat pusat perbelanjaan . tidak nyesal lah .| opini : <extra_id_0>,<extra_id_0> tidak nyesal,o
air hangat tidak hidup didalam kamar mandi .| aspek : <extra_id_0>,<extra_id_0> air hangat,a
"kamar bersih , rapi , toilet bersih , tempat strategis .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar <extra_id_1> bersih <extra_id_2> positive ; <extra_id_3> kamar <extra_id_4> rapi <extra_id_5> positive ; <extra_id_6> toilet <extra_id_7> bersih <extra_id_8> positive ; <extra_id_9> tempat <extra_id_10> strategis <extra_id_11> positive,aos
"secara pelayanan saya suka . tetapi ada sdikit yang saya kurang suka dengan toitet nya yang dibeberapa kamar kurang baik .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan <extra_id_1> suka <extra_id_2> positive ; <extra_id_3> toitet nya <extra_id_4> kurang suka <extra_id_5> negative ; <extra_id_6> toitet nya <extra_id_7> kurang baik <extra_id_8> negative,aos
"tidak adda hanger nya sama sekali , susah untuk gantung pakaian di lemari .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> hanger nya <extra_id_1> negative,as
"kurang ventilasi jdnya pengap dan kipas di toilet .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> ventilasi <extra_id_1> kurang <extra_id_2> negative ; <extra_id_3> ventilasi <extra_id_4> pengap <extra_id_5> negative ; <extra_id_6> kipas <extra_id_7> kurang <extra_id_8> negative,aos
"kamar baik , cuma draine untuk bagian shower menyatu dengan toilet . jadi kelar mandi kamar mandi all basah .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> positive ; <extra_id_2> kamar mandi <extra_id_3> negative,as
"keren banget hotelnya , harga terjangkau , desainnya vintage , petugas hotel ramah , kebersihan oke , .| opini : <extra_id_0>",<extra_id_0> keren banget ; <extra_id_1> terjangkau ; <extra_id_2> vintage ; <extra_id_3> ramah ; <extra_id_4> oke,o
"sangat terbantu .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"di kasih handuk bekas , yang sangat basah . tidak ada keset kamar mandi dan air semprotan wc bocor .| opini : <extra_id_0>",<extra_id_0> bekas ; <extra_id_1> sangat basah ; <extra_id_2> tidak ada ; <extra_id_3> bocor,o
"pelyanannya lengkap .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelyanannya <extra_id_1> lengkap,ao
"baiklah semuanya baik .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> semuanya <extra_id_1> baik,ao
"air kurang panas . itu saja .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> air <extra_id_1> kurang panas,ao
tidak ada sirkulasi udara yang baik .| aspek : <extra_id_0>,<extra_id_0> sirkulasi udara,a
"tempat makan lebih baik dikasih dinding atau apa begitu biar tidak langsung menghadap ke kamar . karena risih kalau dilihat .| aspek : <extra_id_0> ,opini : <extra_id_1>",NULL,ao
"room bersih , hanya lantai sedikit licin .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> room <extra_id_1> bersih ; <extra_id_2> lantai <extra_id_3> sedikit licin,ao
"bagus , nyaman dan tidak jauh dari pusat kota .| aspek : <extra_id_0>",<extra_id_0> NULL,a
"langit langit kamar mandi bocor perlu perbaikan . wifi tidak terjangkau . kayu pada pintu dan jendela sudah ok dengan air jadi aroma kamar jadi lembab . binatang seperti semut pemakan kayu sering muncul dan merek besar besar . saya mungkin akan cari tempat lain bila ke bali lagi .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> langit langit kamar mandi <extra_id_1> negative ; <extra_id_2> wifi <extra_id_3> negative ; <extra_id_4> kamar <extra_id_5> negative,as
"air asin , kamar kotor dan wc kotor .| aspek : <extra_id_0>",<extra_id_0> air ; <extra_id_1> kamar ; <extra_id_2> wc,a
"bersih , petugas ramah , lokasi strategis dan sekarang sudah jadi langganan tetap .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> petugas <extra_id_1> ramah <extra_id_2> positive ; <extra_id_3> lokasi <extra_id_4> strategis <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> bersih <extra_id_8> positive,aos
"tulisannya twin bed , tetapi yang ada kamarnya beda .| opini : <extra_id_0>",<extra_id_0> beda,o
"kamarnya luas , suasana tenang , kasur nyaman , tetapi sayangnya pintu toilet rusak .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamarnya <extra_id_1> luas <extra_id_2> positive ; <extra_id_3> suasana <extra_id_4> tenang <extra_id_5> positive ; <extra_id_6> kasur <extra_id_7> nyaman <extra_id_8> positive ; <extra_id_9> pintu toilet <extra_id_10> rusak <extra_id_11> negative,aos
bersih dan lokasi strategis .| opini : <extra_id_0>,<extra_id_0> strategis ; <extra_id_1> bersih,o
"pelayanan ramah , saran saja mungkin lebih diperhatikan water heater nya . selebihnya , oke .| opini : <extra_id_0>",<extra_id_0> ramah ; <extra_id_1> lebih diperhatikan ; <extra_id_2> oke,o
"tempat nyaman , akses gampang , petugas ramah , dapat sarapan .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempat <extra_id_1> positive ; <extra_id_2> akses <extra_id_3> positive ; <extra_id_4> petugas <extra_id_5> positive ; <extra_id_6> sarapan <extra_id_7> positive,as
"kamar bersih , kasur bersih ( aku paling cepat bereaksi kalau ada tungau walau cma sedikit ) , 24 jam petugasnya siap sedia buat bantuin . top deh !| opini : <extra_id_0>",<extra_id_0> bersih ; <extra_id_1> bersih ; <extra_id_2> top,o
"tv kabel tidak jelas saluran nya , perlengkapan kamar kurang , kebersihan kamar kurang .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tv <extra_id_1> tidak jelas <extra_id_2> negative ; <extra_id_3> perlengkapan kamar <extra_id_4> kurang <extra_id_5> negative ; <extra_id_6> kebersihan kamar <extra_id_7> kurang <extra_id_8> negative,aos
"oke hanya ac kurang dingin .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> ac <extra_id_1> kurang dingin ; <extra_id_2> NULL <extra_id_3> oke,ao
"pelayanan memuaskan , fasilitas oke , dekat dengan kota lagi . memuaskan .| aspek : <extra_id_0>",<extra_id_0> pelayanan ; <extra_id_1> fasilitas ; <extra_id_2> NULL,a
"bagus . cuma kasurnya agak berisik .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kasurnya <extra_id_1> negative ; <extra_id_2> NULL <extra_id_3> positive,as
kamar bersih dan nyaman pelayanan ramah dekat dari pvj berjalan kali kurang lebih 10 menit .| opini : <extra_id_0>,<extra_id_0> bersih ; <extra_id_1> nyaman ; <extra_id_2> ramah,o
"tidur nyaman , murah airy pilihanya .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tidur <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> positive,as
"murah sih tetapi kamarnya ada yang bocor dan perabotan kotor .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamarnya <extra_id_1> bocor <extra_id_2> negative ; <extra_id_3> perabotan <extra_id_4> kotor <extra_id_5> negative ; <extra_id_6> NULL <extra_id_7> murah <extra_id_8> positive,aos
"saya telepon ke no yang ada di invoice pemesanan rupanya no airy jakarta . pihak jakarta menghubungi ke buana sari 2 tetapi tidak ada yang angkat , saya dikasih no telepon airy buana sari dan berkali kali saya hubungi tidak ada juga yang angkat . dan besok pagi pun saya mau keluhan ke pihak airy roomnya tidak ada petugas yang standby .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> petugas <extra_id_1> negative,as
untuk harga murah kualitas sesuai harapan .| aspek : <extra_id_0>,<extra_id_0> harga ; <extra_id_1> kualitas,a
"snack tidak ada , dibanding dengan airy di jogya yang selalu siap . alangkah baiknya jika seprai dan bed cover warna putih , tidak menggunakan warna coklat .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> snack <extra_id_1> tidak ada,ao
nyaman . sudah sering stay disini .| opini : <extra_id_0>,<extra_id_0> nyaman,o
